File,Book,Chapter,ExpectedVerses,Overall,Check,Status,Value,Detail
ACT_010.wav,Acts,10,48,FAIL,Verses,PASS,48/48,"All 48 verses present (Verse 1..48), no missing/extra/duplicates."
ACT_011.wav,Acts,11,30,FAIL,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_011.wav,Acts,11,30,FAIL,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_011.wav,Acts,11,30,FAIL,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
ACT_011.wav,Acts,11,30,FAIL,Tail Silence,FAIL,2.62s,Expected 2.0s +/- 0.5s; measured 2.62s
ACT_011.wav,Acts,11,30,FAIL,Chapter Title,PASS,1,Present.
ACT_011.wav,Acts,11,30,FAIL,Verses,PASS,30/30,"All 30 verses present (Verse 1..30), no missing/extra/duplicates."
ACT_012.wav,Acts,12,25,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_012.wav,Acts,12,25,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_012.wav,Acts,12,25,PASS,Head Silence,PASS,2.07s,Expected 2.0s +/- 0.5s; measured 2.07s
ACT_012.wav,Acts,12,25,PASS,Tail Silence,PASS,2.38s,Expected 2.0s +/- 0.5s; measured 2.38s
ACT_012.wav,Acts,12,25,PASS,Chapter Title,PASS,1,Present.
ACT_012.wav,Acts,12,25,PASS,Verses,PASS,25/25,"All 25 verses present (Verse 1..25), no missing/extra/duplicates."
ACT_013.wav,Acts,13,52,PASS,Loudness,PASS,-18.0 LUFS,Target -18.0 LUFS +/- 0.5; measured -18.0 LUFS
ACT_013.wav,Acts,13,52,PASS,True Peak,PASS,-1.1 dBTP,Ceiling -1.0 dBTP; measured -1.1 dBTP
ACT_013.wav,Acts,13,52,PASS,Head Silence,PASS,2.01s,Expected 2.0s +/- 0.5s; measured 2.01s
